"Year"|"Company"|"Rights Ratio"|"FV"|"Premium"|"Announcement"|"Record"|"Ex-Rights"
"2011"|"Tulsyan NEC"|"2:1"|"10"|"40"|"18-08-09"|"12-03-11"|"10-03-11"
"2011"|"Krypton"|"17:10"|"10"|"5"|"30-03-10"|"11-03-11"|"10-03-11"
"2011"|"Arrow Textiles"|"2:5"|"10"|"1"|"06-10-10"|"04-03-11"|"03-03-11"
"2011"|"Karnataka Bank"|"2:5"|"10"|"75"|"30-07-10"|"28-02-11"|"25-02-11"
"2011"|"EIH"|"5:11"|"2"|"64"|"23-09-10"|"22-02-11"|"21-02-11"
"2011"|"Karur Vysya"|"2:5"|"10"|"140"|"07-09-10"|"18-02-11"|"17-02-11"
"2011"|"Jyoti Structure"|"1:8"|"120"|"0"|"15-02-10"|"15-01-11"|"13-01-11"
"2011"|"KMC Speciality"|"12:1"|"1"|"0"|"21-01-10"|"18-01-11"|"06-01-11"
"2012"|"City Union Bank"|"1:4"|"1"|"19"|"31-01-12"|"23-11-12"|"22-11-12"
"2012"|"TV18 Broadcast"|"41:11"|"2"|"18"|"03-01-12"|"17-09-12"|"14-09-12"
"2012"|"Network 18"|"127:50"|"5"|"25"|"03-01-12"|"12-09-12"|"11-09-12"
"2012"|"EIH Assoc Hotel"|"5:9"|"10"|"90"|"28-03-12"|"12-09-12"|"11-09-12"
"2012"|"Bajaj Finserv"|"1:10"|"5"|"645"|"16-05-12"|"08-09-12"|"06-09-12"
"2012"|"Uttam Sugar"|"12:25"|"10"|"12"|"05-11-11"|"07-09-12"|"05-09-12"
"2012"|"Sun Pharma Adv"|"1:7"|"1"|"66"|"14-07-11"|"00-00-00"|"23-08-12"
"2012"|"Suditind"|"1:1"|"10"|"0"|"13-11-10"|"25-07-12"|"24-07-12"
"2012"|"Suditi Ind"|"1:1"|"10"|"0"|"13-11-10"|"25-07-12"|"24-07-12"
"2012"|"National Oxygen"|"3:5"|"10"|"40"|"27-07-11"|"27-06-12"|"26-06-12"
"2012"|"Mahindra EPC"|"3:5"|"10"|"30"|"12-11-11"|"03-05-12"|"02-05-12"
"2012"|"Arihant Super"|"1:2"|"10"|"2"|"19-04-12"|"02-05-12"|"30-04-12"
"2012"|"Neuland Lab"|"5:12"|"10"|"35"|"07-07-11"|"23-03-12"|"21-03-12"
"2012"|"LGB Forge"|"1:2"|"1"|"2"|"30-09-11"|"21-03-12"|"20-03-12"
"2012"|"Gayatri Project"|"1:1"|"10"|"110"|"21-01-11"|"23-02-12"|"22-02-12"
"2012"|"Arrow Greentech"|"1:1"|"10"|"0"|"04-09-09"|"11-02-12"|"09-02-12"
"2012"|"Fame India"|"58:100"|"10"|"34"|"19-04-11"|"25-01-12"|"24-01-12"
"2012"|"Aarey Drugs"|"2:1"|"10"|"15"|"17-12-09"|"20-01-12"|"19-01-12"
"2013"|"Uniphos Ent"|"127:100"|"2"|"15"|"07-09-13"|"19-09-13"|"18-09-13"
"2013"|"Waterbase"|"1:2"|"10"|"0"|"22-07-11"|"12-09-13"|"11-09-13"
"2013"|"Godrej Prop"|"8:29"|"10"|"315"|"09-05-13"|"20-08-13"|"19-08-13"
