"Year"|"Company"|"Old FV"|"New FV"|"Split Date"
"2008"|"Super Tannery"|"10"|"2"|"19-03-2008"
"2008"|"Gandhi Spl Tube"|"10"|"5"|"17-03-2008"
"2008"|"Emco"|"10"|"2"|"14-03-2008"
"2008"|"Action Const"|"10"|"2"|"13-03-2008"
"2008"|"Bliss GVS"|"10"|"1"|"11-03-2008"
"2008"|"Marksans Pharma"|"10"|"1"|"11-03-2008"
"2008"|"Pudumjee Ind"|"10"|"2"|"11-03-2008"
"2008"|"PTL Enterprises"|"10"|"2"|"25-02-2008"
"2008"|"Walchandnagar"|"10"|"2"|"25-02-2008"
"2008"|"TV18 Broadcast"|"10"|"2"|"21-02-2008"
"2008"|"Triton Corp"|"2"|"1"|"18-02-2008"
"2008"|"KPT Industries"|"10"|"5"|"14-02-2008"
"2008"|"Phoenix Mills"|"10"|"2"|"13-02-2008"
"2008"|"GVK Power"|"10"|"1"|"08-02-2008"
"2008"|"Sanwaria Consum"|"2"|"1"|"04-02-2008"
"2008"|"Orient Paper"|"10"|"1"|"01-02-2008"
"2008"|"GFL"|"2"|"1"|"01-02-2008"
"2008"|"Asian Films"|"10"|"1"|"30-01-2008"
"2008"|"Rajesh Exports"|"2"|"1"|"29-01-2008"
"2008"|"Modern India"|"10"|"2"|"25-01-2008"
"2008"|"T Spirutual"|"2"|"10"|"23-01-2008"
"2008"|"City Union Bank"|"10"|"1"|"23-01-2008"
"2008"|"Cinevista"|"10"|"2"|"22-01-2008"
"2008"|"Jindal Steel"|"5"|"1"|"21-01-2008"
"2008"|"Suzlon Energy"|"10"|"2"|"21-01-2008"
"2008"|"Delta Corp"|"10"|"1"|"15-01-2008"
"2008"|"Classic Diamond"|"10"|"2"|"11-01-2008"
"2008"|"GEE"|"10"|"2"|"10-01-2008"
"2008"|"JagranPrakashan"|"10"|"2"|"09-01-2008"
"2009"|"Rujul Finance"|"2"|"10"|"31-12-2009"
"2009"|"Nu Tek India"|"10"|"5"|"23-12-2009"
"2009"|"Kanani Ind"|"10"|"5"|"22-12-2009"
"2009"|"Firstobject Tec"|"1"|"10"|"22-12-2009"
"2009"|"JK Lakshmi Cem"|"10"|"5"|"17-12-2009"
