"0"|"1"|"2"|"3"|"4"|"5"
"COMPANY NAME"|"DIVIDEND"|"DIVIDEND"|"DATE"|"DATE"|"DATE"
"COMPANY NAME"|"Type"|"%"|"Announcement"|"Record"|"Ex-Dividend"
"Weizmann"|"Final"|"5.00"|"21-08-2012"|"-"|"21-09-2012"
"EBIXCASH WORLD"|"Final"|"20.00"|"14-08-2012"|"-"|"21-09-2012"
"Amrutanjan Heal"|"Final"|"100.00"|"30-05-2012"|"-"|"20-09-2012"
"Aries Agro"|"Final"|"15.00"|"14-08-2012"|"-"|"20-09-2012"
"Atlas Cycles"|"Final"|"45.00"|"05-09-2012"|"-"|"20-09-2012"
"Archies"|"Final"|"20.00"|"26-05-2012"|"-"|"20-09-2012"
"Asian Hotels"|"Final"|"15.00"|"29-05-2012"|"-"|"20-09-2012"
"Vaarad Ventures"|"Final"|"1.00"|"03-09-2012"|"-"|"20-09-2012"
"Arman Financial"|"Final"|"8.00"|"02-07-2012"|"-"|"20-09-2012"
"AMD Industries"|"Final"|"10.00"|"23-05-2012"|"-"|"20-09-2012"
"Amines Plast"|"Final"|"5.00"|"29-05-2012"|"-"|"20-09-2012"
"Artefact"|"Final"|"7.50"|"31-05-2012"|"-"|"20-09-2012"
"Amarjothi Spin"|"Final"|"15.00"|"23-08-2012"|"-"|"20-09-2012"
"Bloom Dekor"|"Final"|"5.00"|"10-09-2012"|"-"|"20-09-2012"
"BDH Industries"|"Final"|"6.00"|"30-07-2012"|"-"|"20-09-2012"
"Bilcare"|"Final"|"20.00"|"12-07-2012"|"-"|"20-09-2012"
"Bhartiya Inter"|"Final"|"10.00"|"30-05-2012"|"-"|"20-09-2012"
"APL Apollo"|"Final"|"20.00"|"04-09-2012"|"-"|"20-09-2012"
"Binayaka Tex"|"Final"|"20.00"|"07-09-2012"|"-"|"20-09-2012"
"Competent Auto"|"Final"|"10.00"|"29-08-2012"|"-"|"20-09-2012"
"Suraj Products"|"Final"|"9.00"|"28-05-2012"|"-"|"20-09-2012"
"Tata Coffee"|"Interim"|"50.00"|"12-09-2012"|"22-09-2012"|"20-09-2012"
